question_text,option_a,option_b,option_c,option_d,correct_option,difficulty
What is the capital of Japan?,Seoul,Tokyo,Beijing,Bangkok,B,1
"Who wrote ""Romeo and Juliet""?",Charles Dickens,William Shakespeare,Jane Austen,Mark Twain,B,1
What is the smallest planet in our solar system?,Mercury,Mars,Venus,Earth,A,2
"Which element has the chemical symbol ""O""?",Oxygen,Gold,Iron,Hydrogen,A,1
What year did World War II end?,1939,1945,1950,1941,B,2
Who discovered penicillin?,Marie Curie,Alexander Fleming,Louis Pasteur,Isaac Newton,B,2
Which programming language is known for web development and is run in the browser?,Python,JavaScript,C++,Java,B,2
Which ocean is the largest?,Atlantic,Indian,Pacific,Arctic,C,1
In which country would you find the Great Barrier Reef?,USA,Australia,India,South Africa,B,1
Which gas do plants absorb from the atmosphere?,Nitrogen,Carbon Dioxide,Oxygen,Helium,B,1
What is the powerhouse of the cell?,Nucleus,Chloroplast,Mitochondria,Ribosome,C,2
What does CPU stand for?,Central Processing Unit,Computer Primary Unit,Central Program Utility,Control Panel Unit,A,1
Which continent has the most countries?,Asia,Europe,Africa,South America,C,3
Which famous scientist developed the theory of relativity?,Newton,Einstein,Tesla,Hawking,B,2
What is the square root of 144?,10,12,14,16,B,1
How many sides does a hexagon have?,5,6,7,8,B,1
Which famous painting is also known as La Gioconda?,The Starry Night,The Last Supper,Mona Lisa,The Scream,C,2
Which metal is liquid at room temperature?,Iron,Aluminum,Mercury,Copper,C,2
Which language has the most native speakers?,English,Spanish,Hindi,Mandarin Chinese,D,3
Which is the longest river in the world?,Amazon,Nile,Yangtze,Mississippi,B,3
